x,theta
0.587201,0.857431
0.587689,0.873069
0.588178,0.884786
0.588666,0.896504
0.589155,0.908221
0.589643,0.919405
0.590132,0.926786
0.590620,0.934166
0.591109,0.941547
0.591597,0.948928
0.592086,0.952285
0.592574,0.955999
0.593063,0.959713
0.593552,0.963426
0.594040,0.967140
0.594529,0.970854
0.595017,0.974567
0.595506,0.978281
0.595994,0.981223
0.596483,0.982591
0.596971,0.983958
0.597460,0.985326
0.597948,0.986694
0.598437,0.988062
0.598925,0.989430
0.599414,0.990798
0.599902,0.992165
0.600391,0.992815
0.600879,0.993284
0.601368,0.993753
0.601856,0.994223
0.602345,0.994692
0.602833,0.995162
0.603322,0.995631
0.603810,0.996101
0.604299,0.996463
0.604787,0.996538
0.605276,0.996613
0.605765,0.996688
0.606253,0.996764
0.606742,0.996839
0.607230,0.996914
0.607719,0.996989
0.608207,0.997064
0.608696,0.996845
0.609184,0.996523
0.609673,0.996201
0.610161,0.995879
0.610650,0.995557
0.611138,0.995235
0.611627,0.994913
0.612115,0.994591
0.612604,0.994066
0.613092,0.992786
0.613581,0.991506
0.614069,0.990226
0.614558,0.988946
0.615046,0.987666
0.615535,0.986386
0.616023,0.985106
0.616512,0.983826
0.617000,0.980629
0.617489,0.976545
0.617978,0.972460
0.618466,0.968376
0.618955,0.964291
0.619443,0.960207
0.619932,0.956122
0.620420,0.952038
0.620909,0.947148
0.621397,0.938091
0.621886,0.929035
0.622374,0.919978
0.622863,0.910921
0.623351,0.896326
0.623840,0.881044
0.624328,0.865762
0.624817,0.850480
0.625305,0.829219
0.625794,0.804372
0.626282,0.779525
0.626771,0.754678
0.627259,0.725083
0.627748,0.687061
0.628236,0.649038
0.628725,0.611016
0.629213,0.571553
0.629702,0.518510
