step,time,E_CH,E_kin,E_mag,E_internal,E_total,dE_internal_dt,dE_total_dt
160,8.050000e-02,9.435170e-01,2.373713e-05,1.074843e+01,9.435407e-01,1.169197e+01,7.926360e-03,2.678181e+02
161,8.100000e-02,9.435210e-01,2.378135e-05,1.088317e+01,9.435447e-01,1.182672e+01,8.049835e-03,2.694971e+02
162,8.150000e-02,9.435249e-01,2.372787e-05,1.101876e+01,9.435487e-01,1.196231e+01,7.839529e-03,2.711745e+02
163,8.200000e-02,9.435289e-01,2.378889e-05,1.115518e+01,9.435527e-01,1.209873e+01,8.102232e-03,2.728539e+02
164,8.250000e-02,9.435329e-01,2.376934e-05,1.129244e+01,9.435567e-01,1.223600e+01,7.916196e-03,2.745315e+02
165,8.300000e-02,9.435369e-01,2.379373e-05,1.143054e+01,9.435607e-01,1.237410e+01,7.985131e-03,2.762110e+02
166,8.350000e-02,9.435408e-01,2.373358e-05,1.156948e+01,9.435646e-01,1.251305e+01,7.807762e-03,2.778888e+02
167,8.400000e-02,9.435448e-01,2.381993e-05,1.170926e+01,9.435686e-01,1.265283e+01,8.115957e-03,2.795679e+02
168,8.450000e-02,9.435488e-01,2.379168e-05,1.184988e+01,9.435726e-01,1.279345e+01,7.875120e-03,2.812456e+02
169,8.500000e-02,9.435527e-01,2.378623e-05,1.199134e+01,9.435765e-01,1.293492e+01,7.895047e-03,2.829254e+02
170,8.550000e-02,9.435567e-01,2.388298e-05,1.213364e+01,9.435806e-01,1.307722e+01,8.153396e-03,2.846035e+02
171,8.600000e-02,9.435607e-01,2.386513e-05,1.227678e+01,9.435845e-01,1.322036e+01,7.905153e-03,2.862811e+02
172,8.650000e-02,9.435646e-01,2.382457e-05,1.242075e+01,9.435884e-01,1.336434e+01,7.837614e-03,2.879604e+02
173,8.700000e-02,9.435686e-01,2.384526e-05,1.256557e+01,9.435924e-01,1.350916e+01,7.950654e-03,2.896385e+02
174,8.750000e-02,9.435725e-01,2.380508e-05,1.271122e+01,9.435963e-01,1.365482e+01,7.823516e-03,2.913172e+02
175,8.800000e-02,9.435765e-01,2.388415e-05,1.285772e+01,9.436004e-01,1.380132e+01,8.050795e-03,2.929962e+02
176,8.850000e-02,9.435804e-01,2.386583e-05,1.300505e+01,9.436043e-01,1.394865e+01,7.854463e-03,2.946739e+02
177,8.900000e-02,9.435844e-01,2.385866e-05,1.315322e+01,9.436082e-01,1.409683e+01,7.857473e-03,2.963537e+02
178,8.950000e-02,9.435883e-01,2.391430e-05,1.330223e+01,9.436122e-01,1.424585e+01,8.006372e-03,2.980316e+02
179,9.000000e-02,9.435922e-01,2.389669e-05,1.345208e+01,9.436161e-01,1.439570e+01,7.849356e-03,2.997094e+02
